No.,VIN,stock_num,year,make,model,trim,odometer,color exterior,color interior,sale price,url,first date seen,last date seen,days in stock,
71,7SAYGDEF8NF531736,T531736,2022,Tesla,Model Y,Performance,"69,421",Deep Blue Metallic,White,"$32,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef8nf531736/,09/09/2026,,1,
72,7SAYGDEE1RA252672,T252672,2024,Tesla,Model Y,Long Range,"31,729",Gray,White,"$39,299.00",https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee1ra252672/,09/09/2026,,1,
73,7SAXCDE56NF341156,B341156L,2022,Tesla,Model X,Awd,"39,610",Solid Black,Black,"$50,999.00",https://evauto.com/vehicle/used-2022-tesla-model-x-awd-7saxcde56nf341156/,09/09/2026,,1,
74,7SAYGDEE1PA161480,L161480,2023,Tesla,Model Y,Long Range,"44,823",Red Multi-coat,Black,"$35,489.00",https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee1pa161480/,09/09/2026,,1,
75,7G2CEHED7RA001437,B001437L,2024,Tesla,Cybertruck,Awd,"55,551",Stainless Steel,Black,"$67,399.00",https://evauto.com/vehicle/used-2024-tesla-cybertruck-awd-7g2cehed7ra001437/,09/09/2026,,1,
76,5YJ3E1EA7MF027838,T027838,2021,Tesla,Model 3,Standard Range Plus,"93,586",Gray,Black,"$20,659.00",https://evauto.com/vehicle/used-2021-tesla-model-3-standard-range-plus-5yj3e1ea7mf027838/,09/09/2026,,1,
77,5YJ3E1EB3NF206534,L206534,2022,Tesla,Model 3,Long Range,"77,331",Gray,Black,"$27,999.00",https://evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb3nf206534/,09/09/2026,,1,
78,5YJ3E1EB8KF194523,T194523,2019,Tesla,Model 3,Long Range,"100,156",Red Multi-coat,Black,"$19,999.00",https://evauto.com/vehicle/used-2019-tesla-model-3-long-range-5yj3e1eb8kf194523/,09/09/2026,,1,
79,7SAYGDEF4NF539929,T539929,2022,Tesla,Model Y,Performance,"60,022",Solid Black,Black,"$31,999.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef4nf539929/,09/09/2026,,1,
80,5YJ3E1EBXLF787575,T787575,2020,Tesla,Model 3,Long Range,"59,618",Pearl White Multi-coat,Black,"$26,999.00",https://evauto.com/vehicle/used-2020-tesla-model-3-long-range-5yj3e1ebxlf787575/,09/09/2026,,1,
81,7SAYGDEF9NF439132,T439132,2022,Tesla,Model Y,Performance,"66,634",Solid Black,Black,"$31,498.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef9nf439132/,09/09/2026,,1,
82,5YJ3E1EB4NF187928,L187928,2022,Tesla,Model 3,Long Range,"106,270",Red Multi-coat,Black,"$24,399.00",https://evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb4nf187928/,09/09/2026,,1,
83,7SAXCBE68NF331399,L331399L,2022,Tesla,Model X,Plaid,"36,239",Solid Black,Cream,"$60,399.00",https://evauto.com/vehicle/used-2022-tesla-model-x-plaid-7saxcbe68nf331399/,09/09/2026,,1,
84,7SAXCDE56RF440825,L440825L,2024,Tesla,Model X,Awd,"25,769",Gray,Black,"$68,399.00",https://evauto.com/vehicle/used-2024-tesla-model-x-awd-7saxcde56rf440825/,09/09/2026,,1,
85,7SAYGDEF8NF461199,T461199,2022,Tesla,Model Y,Performance,"67,194",Solid Black,Black,"$31,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef8nf461199/,09/09/2026,,1,
86,5YJ3E1EB3RF855062,L855062,2024,Tesla,Model 3,Long Range,"23,374",Quicksilver,White,"$39,989.00",https://evauto.com/vehicle/used-2024-tesla-model-3-long-range-5yj3e1eb3rf855062/,09/09/2026,,1,
87,5YJSA1E69NF464826,L464826L,2022,Tesla,Model S,Plaid,"51,722",Gray,Black,"$59,399.00",https://evauto.com/vehicle/used-2022-tesla-model-s-plaid-5yjsa1e69nf464826/,09/09/2026,,1,
88,7SAXCBE6XNF334112,L334112,2022,Tesla,Model X,Plaid,"43,063",Gray,Black,"$59,999.00",https://evauto.com/vehicle/used-2022-tesla-model-x-plaid-7saxcbe6xnf334112/,09/09/2026,,1,
89,5YJ3E1EB4NF260389,B260389,2022,Tesla,Model 3,Long Range,"51,307",Pearl White Multi-coat,Black,"$30,049.00",https://evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb4nf260389/,09/09/2026,,1,
90,5YJYGDEE9MF125189,T125189,2021,Tesla,Model Y,Long Range,"32,689",Gray,Black,"$34,489.00",https://evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee9mf125189/,09/09/2026,,1,
91,5YJYGDEE8MF094999,L094999,2021,Tesla,Model Y,Long Range,"118,158",Pearl White Multi-coat,Black,"$23,999.00",https://evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee8mf094999/,09/09/2026,,1,
92,5YJ3E1EC5MF869644,T869644,2021,Tesla,Model 3,Performance,"93,495",Pearl White Multi-coat,White,"$25,999.00",https://evauto.com/vehicle/used-2021-tesla-model-3-performance-5yj3e1ec5mf869644/,09/09/2026,,1,
93,7SAYGDEF6PF808953,L808953L,2023,Tesla,Model Y,Performance,"56,214",Solid Black,Black,"$32,999.00",https://evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef6pf808953/,09/09/2026,,1,
94,7SAYGDEF8NF452048,L452048,2022,Tesla,Model Y,Performance,"90,558",Pearl White Multi-coat,Black,"$28,989.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef8nf452048/,09/09/2026,,1,
95,5YJ3E1ET9RF854555,B854555,2024,Tesla,Model 3,Performance,"41,332",Gray,Black,"$42,489.00",https://evauto.com/vehicle/used-2024-tesla-model-3-performance-5yj3e1et9rf854555/,09/09/2026,,1,
96,5YJ3E1ET7RF782903,L782903A,2024,Tesla,Model 3,Performance,"7,058",Solid Black,Black,"$46,798.00",https://evauto.com/vehicle/used-2024-tesla-model-3-performance-5yj3e1et7rf782903/,09/09/2026,,1,
97,5YJ3E1EC3LF642208,T642208,2020,Tesla,Model 3,Performance,"58,626",Pearl White Multi-coat,White,"$27,489.00",https://evauto.com/vehicle/used-2020-tesla-model-3-performance-5yj3e1ec3lf642208/,09/09/2026,,1,
98,7SAYGDEF9PF740034,L740034L,2023,Tesla,Model Y,Performance,"22,962",Red Multi-coat,Black,"$36,199.00",https://evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef9pf740034/,09/09/2026,,1,
99,5YJ3E1EB9NF185138,B185138,2022,Tesla,Model 3,Long Range,"114,661",Gray,Black,"$23,089.00",https://evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb9nf185138/,09/09/2026,,1,
100,7SAYGDEFXNF406334,B406334,2022,Tesla,Model Y,Performance,"35,881",Deep Blue Metallic,Black,"$35,999.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdefxnf406334/,09/09/2026,,1,
101,7SAXCDE58NF350165,B350165,2022,Tesla,Model X,Base,"56,148",Solid Black,Black,"$47,699.00",https://evauto.com/vehicle/used-2022-tesla-model-x-base-7saxcde58nf350165/,09/09/2026,,1,
102,7SAYGDEE4PF688464,T688464,2023,Tesla,Model Y,Long Range,"37,352",Red Multi-coat,White,"$35,998.00",https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee4pf688464/,09/09/2026,,1,
103,5YJ3E1EA7PF655192,T655192,2023,Tesla,Model 3,Rwd,"40,491",Gray,Black,"$29,189.00",https://evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea7pf655192/,09/09/2026,,1,
104,7SAYGDETXTA681590,T681590,2026,Tesla,Model Y,Performance,"1,119",Pearl White Multi-coat,Black,"$59,789.00",https://evauto.com/vehicle/used-2026-tesla-model-y-performance-7saygdetxta681590/,09/09/2026,,1,
105,7SAYGDEF3NF459635,B459635,2022,Tesla,Model Y,Performance,"50,682",Gray,Black,"$32,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef3nf459635/,09/09/2026,,1,
106,7SAYGDEE8RA252863,B252863,2024,Tesla,Model Y,Long Range,"39,220",Gray,Black,"$38,098.00",https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee8ra252863/,09/09/2026,,1,
107,5YJ3E1EB0JF112590,T112590,2018,Tesla,Model 3,Long Range,"107,627",Deep Blue Metallic,Black,"$19,789.00",https://evauto.com/vehicle/used-2018-tesla-model-3-long-range-5yj3e1eb0jf112590/,09/09/2026,,1,
108,7SAYGDEE3TF365839,B365839,2026,Tesla,Model Y,Long Range,"42,999",Black,Black,"$45,989.00",https://evauto.com/vehicle/used-2026-tesla-model-y-long-range-7saygdee3tf365839/,09/09/2026,,1,
109,5YJ3E1EB5MF847943,T847943,2021,Tesla,Model 3,Long Range,"87,107",Red Multi-coat,White,"$25,489.00",https://evauto.com/vehicle/used-2021-tesla-model-3-long-range-5yj3e1eb5mf847943/,09/09/2026,,1,
