vin,stock_num,year,make,model,trim,odometer,color_exterior,color_interior,sale_price,url,first_date_seen,last_date_seen,days_in_stock,days_in_stock
7SAXCDE56RF440825,L440825L,2024,Tesla,Model X,Awd,25769,Gray,Black,68399,https://www.evauto.com/vehicle/used-2024-tesla-model-x-awd-7saxcde56rf440825/,09/09/2026,Available,5,5
7SAYGDEF8NF461199,T461199,2022,Tesla,Model Y,Performance,67194,Solid Black,Black,31489,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef8nf461199/,09/09/2026,Available,5,5
5YJ3E1EB3RF855062,L855062,2024,Tesla,Model 3,Long Range,23374,Quicksilver,White,39989,https://evauto.com/vehicle/used-2024-tesla-model-3-long-range-5yj3e1eb3rf855062/,09/09/2026,09/14/2026,5,5
5YJSA1E69NF464826,L464826L,2022,Tesla,Model S,Plaid,51722,Gray,Black,59399,https://www.evauto.com/vehicle/used-2022-tesla-model-s-plaid-5yjsa1e69nf464826/,09/09/2026,Available,5,5
7SAXCBE6XNF334112,L334112,2022,Tesla,Model X,Plaid,43063,Gray,Black,59999,https://www.evauto.com/vehicle/used-2022-tesla-model-x-plaid-7saxcbe6xnf334112/,09/09/2026,Available,5,5
5YJ3E1EB4NF260389,B260389,2022,Tesla,Model 3,Long Range,51307,Pearl White Multi-coat,Black,30049,https://evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb4nf260389/,09/09/2026,09/14/2026,5,5
5YJYGDEE9MF125189,T125189,2021,Tesla,Model Y,Long Range,32689,Gray,Black,34489,https://www.evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee9mf125189/,09/09/2026,Available,5,5
5YJYGDEE8MF094999,L094999,2021,Tesla,Model Y,Long Range,118158,Pearl White Multi-coat,Black,23999,https://www.evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee8mf094999/,09/09/2026,Available,5,5
5YJ3E1EC5MF869644,T869644,2021,Tesla,Model 3,Performance,93495,Pearl White Multi-coat,White,25999,https://www.evauto.com/vehicle/used-2021-tesla-model-3-performance-5yj3e1ec5mf869644/,09/09/2026,Available,5,5
7SAYGDEF6PF808953,L808953L,2023,Tesla,Model Y,Performance,56214,Solid Black,Black,32999,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef6pf808953/,09/09/2026,Available,5,5
7SAYGDEF8NF452048,L452048,2022,Tesla,Model Y,Performance,90558,Pearl White Multi-coat,Black,28989,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef8nf452048/,09/09/2026,Available,5,5
5YJ3E1ET9RF854555,B854555,2024,Tesla,Model 3,Performance,41332,Gray,Black,42489,https://www.evauto.com/vehicle/used-2024-tesla-model-3-performance-5yj3e1et9rf854555/,09/09/2026,Available,5,5
